ID;NOME;CLASSIFICACAO;QTD_UNTRD
18520605;SESD PARAIBA DO SUL;2. Distribuição Satélite;432
18520308;SESD SANTA ISABEL;2. Distribuição Satélite;606
18520317;SESD VARGEM ALEGRE;2. Distribuição Satélite;195
18520614;SETD SAPUCAIA;3. Transformadora Pura;0
18520326;SETD TRES RIOS;1. Distribuição Plena;761
18520335;SESD RIO DAS FLORES;2. Distribuição Satélite;327
18520623;SESD CAMPO GRANDE;2. Distribuição Satélite;188
18520632;SESD MORRO AZUL;2. Distribuição Satélite;164
551882056;SETD SIDERURGICA BARRA MANSA;4. Transporte/Manobra;0
18520650;SESD PIRAI;2. Distribuição Satélite;440
18520641;SESD MENDES;2. Distribuição Satélite;265
18520659;SESD PAULO DE FRONTIN NOVA;2. Distribuição Satélite;265
18520668;SESD ARROZAL;2. Distribuição Satélite;222
18520677;SESD ENGENHEIRO NOBREGA;2. Distribuição Satélite;154
18520686;SESD BARRA DO PIRAI;2. Distribuição Satélite;151
18520695;SESD CAMPINA;2. Distribuição Satélite;182
18520704;SESD MAGARÇA;2. Distribuição Satélite;201
553208911;SETD COMPANHIA SIDERURGICA NACIONAL;4. Transporte/Manobra;0
1141;SETD CACHAMBI;1. Distribuição Plena;1045
18520713;SESD QUINCAS;2. Distribuição Satélite;216
1150;SETD GUANABARA;1. Distribuição Plena;764
1159;SETD BRAS DE PINA;1. Distribuição Plena;683
1168;SETD DEMOCRATICOS;1. Distribuição Plena;618
1177;SETD VILA VALQUEIRE;1. Distribuição Plena;883
1186;SETD CASCADURA;1. Distribuição Plena;1435
358270314;SETD PORTO DE GRANEIS;4. Transporte/Manobra;0
405941887;SESD SANTA ROSA;2. Distribuição Satélite;126
10385925;SETD LEME;1. Distribuição Plena;152
406362690;SESD RIO DOURO;2. Distribuição Satélite;98
18520911;SETD ZONA INDUSTRIAL;1. Distribuição Plena;296
10385934;SETD BOTAFOGO;1. Distribuição Plena;353
18520920;SESD MORSING;2. Distribuição Satélite;105
427261589;SESD VALENÇA NOVA;2. Distribuição Satélite;157
