ID;NOME;STATUS;POT_UNTRS;VIZINHOS;QTD_VIZINHOS
18521100;SESD CABUCU;CARGA;0.0;;0
25334769;SESD UNIVERSIDADE;CARGA;0.0;;0
284904325;SETD SÃO JOSÉ;TRANSPORTE/VAZIA;0.0;;0
18521109;SESD PEDREIRA;CARGA;0.0;;0
18521118;SESD SANTA RITA;CARGA;0.0;;0
1195;SETD BOCA DO MATO;CARGA;120.0;;0
25455230;SESD GUARATIBA;CARGA;0.0;;0
1204;SETD TRIAGEM;CARGA;140.0;;0
25764042;SESD MAZOMBA;CARGA;0.0;;0
1213;SETD GOVERNADOR;CARGA;60.0;;0
25794114;SESD CAÇADOR;CARGA;0.0;;0
1222;SETD FUNDAO;CARGA;80.0;;0
25987899;SESD VERIDIANA;CARGA;0.0;;0
29148432;SETD MATO ALTO;TRANSFORMADORA;94.8;;0
1231;SETD PIEDADE;CARGA;80.0;;0
29186320;SEMT TERMINAL SUL;TRANSPORTE/VAZIA;0.0;;0
30526190;SESD PALMAS;CARGA;0.0;;0
18521127;SESD MIGUEL PEREIRA;CARGA;0.0;;0
1240;SETD PEDRO ERNESTO;CARGA;120.0;;0
18521136;SETD SANTISSIMO;TRANSFORMADORA;72.8;;0
34192093;SETD SANTA CLARA;CARGA;60.0;;0
18520299;SETD SANTA CECILIA;TRANSFORMADORA;94.8;;0
18520605;SESD PARAIBA DO SUL;CARGA;0.0;;0
18520308;SESD SANTA ISABEL;CARGA;0.0;;0
18520317;SESD VARGEM ALEGRE;CARGA;0.0;;0
18520614;SETD SAPUCAIA;TRANSFORMADORA;18.75;;0
18520326;SETD TRES RIOS;CARGA;112.0;;0
18520335;SESD RIO DAS FLORES;CARGA;0.0;;0
18520623;SESD CAMPO GRANDE;CARGA;0.0;;0
18520632;SESD MORRO AZUL;CARGA;0.0;;0
551882056;SETD SIDERURGICA BARRA MANSA;TRANSPORTE/VAZIA;0.0;;0
18520650;SESD PIRAI;CARGA;0.0;;0
18520641;SESD MENDES;CARGA;0.0;;0
18520659;SESD PAULO DE FRONTIN NOVA;CARGA;0.0;;0
18520668;SESD ARROZAL;CARGA;0.0;;0
18520677;SESD ENGENHEIRO NOBREGA;CARGA;0.0;;0
18520686;SESD BARRA DO PIRAI;CARGA;0.0;;0
18520695;SESD CAMPINA;CARGA;0.0;;0
18520704;SESD MAGARÇA;CARGA;0.0;;0
553208911;SETD COMPANHIA SIDERURGICA NACIONAL;TRANSPORTE/VAZIA;0.0;;0
1141;SETD CACHAMBI;CARGA;120.0;;0
18520713;SESD QUINCAS;CARGA;0.0;;0
1150;SETD GUANABARA;CARGA;120.0;;0
1159;SETD BRAS DE PINA;CARGA;97.5;;0
1168;SETD DEMOCRATICOS;CARGA;60.0;;0
1177;SETD VILA VALQUEIRE;CARGA;120.0;;0
1186;SETD CASCADURA;CARGA;236.0;;0
358270314;SETD PORTO DE GRANEIS;TRANSPORTE/VAZIA;0.0;;0
405941887;SESD SANTA ROSA;CARGA;0.0;;0
10385925;SETD LEME;CARGA;80.0;;0
406362690;SESD RIO DOURO;CARGA;0.0;;0
18520911;SETD ZONA INDUSTRIAL;CARGA;40.0;;0
10385934;SETD BOTAFOGO;CARGA;120.0;;0
18520920;SESD MORSING;CARGA;0.0;;0
427261589;SESD VALENÇA NOVA;CARGA;0.0;;0
432307066;SETD FUNIL;TRANSPORTE/VAZIA;0.0;;0
18520452;SESD JUNQUEIRA;CARGA;0.0;;0
10385943;SETD ALVORADA;CARGA;120.0;;0
432328516;SETD VULCAN;TRANSPORTE/VAZIA;0.0;;0
10385961;SETD BAEPENDI;CARGA;120.0;;0
18520461;SETD ARI FRANCO;CARGA;120.0;;0
10385970;SETD SANTO ANTONIO;CARGA;240.0;;0
432333038;SETD UFEM;TRANSPORTE/VAZIA;0.0;;0
10385979;SETD URUGUAI;CARGA;60.0;;0
10385988;SETD ITAPEBA;CARGA;120.0;;0
449886789;SETD INFLUENCIA;TRANSFORMADORA;37.5;;0
450101398;SETD PACIENCIA;CARGA;120.0;;0
18520470;SETD VOLTA REDONDA;CARGA;117.999;;0
453768618;SETR GLOBO;TRANSPORTE/VAZIA;0.0;;0
455138316;SESD MANGUARIBA;CARGA;0.0;;0
10385997;SETD SAMARITANO;CARGA;80.0;;0
18520479;SETD PADRE MIGUEL;CARGA;120.0;;0
457474244;SETD GARDENIA;CARGA;120.0;;0
18520488;SETD CAMARA;CARGA;120.0;;0
457701774;SESD CARAMUJOS;CARGA;0.0;;0
18520497;SESD KENEDY;CARGA;0.0;;0
461733896;SEMT INTEGRAÇÃO;TRANSPORTE/VAZIA;0.0;;0
18520506;SESD CANANEIA;CARGA;0.0;;0
10386006;SETD RIO COMPRIDO;CARGA;120.0;;0
18520515;SESD SAO FRANCISCO;CARGA;0.0;;0
469239770;SETD PCH PARACAMBI;TRANSPORTE/VAZIA;0.0;;0
18520929;SETD INMETRO;CARGA;40.0;;0
473714081;SETD AIR LIQUIDE - MESSER;TRANSPORTE/VAZIA;0.0;;0
10386015;SETD CAMERINO;CARGA;200.0;;0
484023983;SETR METRO BARRA;TRANSPORTE/VAZIA;0.0;;0
18520938;SESD SANTANESIA;CARGA;0.0;;0
488045000;SEMT NOVA IGUAÇU;TRANSPORTE/VAZIA;0.0;;0
18520956;SESD TEOFILO;CARGA;0.0;;0
10386060;SETD SÃO CONRADO;CARGA;60.0;;0
497739010;SESD VILA AMERICANA;CARGA;0.0;;0
10386069;SETD SANTA LUZIA;CARGA;120.0;;0
